,Available as of,Construction year,Building condition,Number of frontages,Outdoor parking spaces,Living area,How many fireplaces?,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Toilets,Basement surface,Furnished,Surface of the plot,Garden,Garden orientation,Secure access / alarm,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Double glazing,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Street frontage width,Covered parking spaces,Surroundings type,Living room,Dressing room,Office,Width of the lot on the street,Garden surface,Caretaker,Elevator,Accessible for disabled people,Intercom,TV cable,Visio phone,Conformity certification for fuel tanks,Heat pump,Planning permission obtained,Obligation to build,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Dining room,Basement,Terrace,Subdivision permit,Shower rooms,Land is facing street,Wooded land,Plot at rear,Flat land,Connection to sewer network,"Gas, water &amp; electricity",Laundry room,Total ground floor buildable,Agent's name,Available date,Bedroom 4 surface,Bedroom 5 surface,Neighbourhood or locality,Living room surface,Terrace surface,Professional space,Armored door,Air conditioning,Jacuzzi,Sauna,Internet,Photovoltaic solar panels,Thermic solar panels,Common water heater,Type of building,Attic,Virtual visit,E-level (overall energy performance),Property name,Office surface,Professional space surface,Terrace orientation,Attic surface,Number of annexes,Isolated,Extra information,Monthly charges,Percentage rented,Venue of the sale,Single session,Terms of visit,Starting price,Current monthly revenue,EPC description,Sea view,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Maximum duration of annuity
9156994,,2021,,,,,,,,3,,,,1,2,,No,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,Yes,"€ 261,500261500 €",,No,Grote Heerweg 2 8791- Beveren-Leie,,WijtschateLot15C,West Flanders,,1,,Yes,No,No,,,,,,,,,,,Yes,No,,,Non flood zone,,,,,Yes,,No,No,No,No,Connected,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9156992,,2021,,,,,,,,3,,,,1,2,,No,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,Yes,"€ 265,000265000 €",,No,Grote Heerweg 2 8791- Beveren-Leie,,WijtschateLot17C,West Flanders,,1,,Yes,No,No,,,,,,,,,,,Yes,No,,,Non flood zone,,,,,Yes,,No,No,No,No,Connected,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10026494,,2022,,,1,,,,,3,,,,1,2,,,276m²square meters,,,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,Yes,"€ 280,000280000 €",,No,Grote Heerweg 2 8791- Beveren-Leie,,Lot58KapelMilanenZwe,West Flanders,,,,Yes,No,No,,,No,No,No,No,Yes,No,,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,Yes,,No,No,No,No,Connected,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9993599,,2022,,,,,,Hyper equipped,,3,,,,1,2,,,377m²square meters,,,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,Yes,"€ 309,965309965 €",,No,Kon Albertstraat 10/2 8500- Kortrijk,,Mesen,West Flanders,,1,,,No,No,,,No,No,No,No,Yes,No,,,,No,,,,"Living area (residential, urban or rural)",,,,,,No,No,No,No,Connected,Yes,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,
9854931,,2022,,,1,170m²square meters,,,,4,,,,1,2,,,243m²square meters,Yes,South,No,No,Not specified,Not specified,EPB-regelgeving,Not specified,Not specified,,,Yes,"€ 319,000319000 €",,No,Stationstraat 4/1 8770- Ingelmunster,http://www.immo-casa.be,INGE/VAAR49/LOT29/KC,West Flanders,,1,,Yes,No,No,,,No,No,No,No,Yes,No,,,Yes,No,Yes,,Non flood zone,"Living area (residential, urban or rural)",Yes,,Yes,Yes,,No,No,No,No,Connected,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9898191,,2021,,,,,,Hyper equipped,,3,,,,,,,No,299m²square meters,Yes,West,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,,,Yes,"€ 335,000335000 €",,No,Markt 15 8700- Tielt,http://www.realestatebykarolien.be,Lot 5,West Flanders,,,,,No,No,,,No,No,No,Yes,Yes,Yes,,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,Yes,,No,No,No,No,Connected,No,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,
10132034,,1997,,,,,,,,5,,,,3,4,,No,793m²square meters,Yes,South,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,Yes,"€ 2,850,0002850000 €",,No,Natiënlaan 231 8300- Knokke-Heist,http://www.immonano.be,L2272,West Flanders,,2,,,No,No,,,,,,,,,,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)",,,Yes,No,,No,No,No,No,Not connected,Yes,Yes,,,,,,,,,,,,,,,,,,All kind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10094039,,1953,As new,,,,,,,1,,,,,,,No,,Yes,South West,No,No,404 kWh/m²kilowatt hour per square meters,E,20220515-0002603819-RES-1,Not specified,Not specified,,Gas,Yes,"€ 349,000349000 €",,No,Artanlaan 2 8620- Nieuwpoort,https://www.century21seaport.be/nl/,3238152C,West Flanders,,1,Urban,Yes,No,No,,,No,No,No,No,Yes,No,,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)",Yes,,,No,,No,No,No,No,Connected,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062872,,2022,,,,,,Hyper equipped,,3,,,,1,2,,,490m²square meters,Yes,South West,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,,,Yes,"€ 447,407447407 €",,No,Kon Albertstraat 10/2 8500- Kortrijk,,Ichtegem,West Flanders,,,,,No,No,,,No,No,No,No,Yes,No,,,,,,,,,,,,,,No,No,No,No,Connected,Yes,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,
10151527,,2023,,,,,,,,3,,,,1,2,,,,,,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,Yes,"€ 306,000306000 €",,No,Grote Heerweg 2 8791- Beveren-Leie,,LOT14MoenProcessiewe,West Flanders,,,,Yes,No,No,,,No,No,No,No,Yes,No,,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,Yes,,No,No,No,No,Connected,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10151529,,2023,,,,,,,,3,,,,1,2,,,,,,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,Yes,"€ 281,000281000 €",,No,Grote Heerweg 2 8791- Beveren-Leie,,LOT11MoenProcessiewe,West Flanders,,,,Yes,No,No,,,No,No,No,No,Yes,No,,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,Yes,,No,No,No,No,Connected,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10145002,,2022,,,,170m²square meters,,Installed,,3,,,,1,2,,No,234m²square meters,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,No,"€ 376,000376000 €",,No,Landegemstraat 10 9031- Drongen,http://www.durabrik.be,0. Varsenare prijsda,West Flanders,,1,,,No,No,,,,,,,,,,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,Yes,,No,No,No,No,Not connected,Yes,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,
10145001,,2022,,,,189m²square meters,,Installed,,3,,,,1,2,,No,288m²square meters,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,No,"€ 433,000433000 €",,No,Landegemstraat 10 9031- Drongen,http://www.durabrik.be,0. Varsenare prijsda,West Flanders,,1,,,No,No,,,,,,,,,,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,Yes,,No,No,No,No,Not connected,Yes,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
10151528,,2023,,,,,,,,3,,,,1,2,,,,,,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,Yes,"€ 311,500311500 €",,No,Grote Heerweg 2 8791- Beveren-Leie,,LOT13MoenProcessiewe,West Flanders,,,,Yes,No,No,,,No,No,No,No,Yes,No,,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,Yes,,No,No,No,No,Connected,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10040080,,2022,,,,210m²square meters,,,,3,,,,,,,No,401m²square meters,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,No,"€ 353,000353000 €",,No,Zeedijk 201 8301- Knokke-Heist,,St-Bertinuslaan,West Flanders,,,,,,No,,,,,,,,,,,,,,No,,,,,,,,,,,,Not connected,No,,,,,,,,,,,No,,,,,,,,Villa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9993595,,2022,,,,,,Hyper equipped,,3,,,,1,,,,408m²square meters,Yes,West,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,Yes,"€ 399,799399799 €",,No,Kon Albertstraat 10/2 8500- Kortrijk,,Rumbeke,West Flanders,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,Connected,Yes,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,
9247081,,2021,,,,,,,,3,,,,1,2,,No,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,Yes,"€ 271,000271000 €",,No,Grote Heerweg 2 8791- Beveren-Leie,,MoenProcessieweg1.1L,West Flanders,,,,Yes,No,No,,,,,,,,,,,Yes,No,,,,,,,,Yes,,No,No,No,No,Connected,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10125651,,2023,,,,189m²square meters,,,,4,10m²square meters,9m²square meters,11m²square meters,1,2,,,271m²square meters,,South East,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,No,"€ 345,000345000 €",,No,"Vindictivelaan , 5/0 8400- Oostende",http://www.groepcaenen.be,Ruime nieuwbouwwonin,West Flanders,,,,,No,No,,68m²square meters,,,,,,,,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,,,No,No,No,No,Not connected,No,,,,,8m²square meters,,,,14m²square meters,,,,,,,,,,,,,25,Nieuwbouw Leffingestraat,,,,33m²square meters,,,,,,,,,,,,,,,,,,,,,
10145004,,2021,,,,211m²square meters,,Installed,,5,,,,1,2,,No,347m²square meters,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,No,"€ 476,200476200 €",,No,Landegemstraat 10 9031- Drongen,http://www.durabrik.be,0. Varsenare prijsda,West Flanders,,,,,No,No,,,,,,,,,,,Yes,No,,,,"Living area (residential, urban or rural)",,,,Yes,,No,No,No,No,Not connected,Yes,,,,,,,,,,,,,,,,,,,All kind,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,
10145003,,2022,,,,166m²square meters,,Installed,,3,,,,1,2,,No,467m²square meters,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,No,"€ 451,800451800 €",,No,Landegemstraat 10 9031- Drongen,http://www.durabrik.be,0. Varsenare prijsda,West Flanders,,1,,,No,No,,,,,,,,,,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,Yes,,No,No,No,No,Not connected,Yes,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
9376631,,2021,,,,,,,,3,,,,1,2,,,,,,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,,,Yes,"€ 266,000266000 €",,No,Grote Heerweg 2 8791- Beveren-Leie,,Lot1MenenCh.Cappelle,West Flanders,,1,,,No,No,,,No,No,No,No,Yes,No,,,Yes,No,,,,,,,,Yes,,No,No,No,No,Connected,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10144921,,2022,,,,175m²square meters,,,,3,,,,1,,,,227m²square meters,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,No,"€ 345,000345000 €",,No,Scheepsdalelaan 31 8000- Brugge,,KA47,West Flanders,7 m,1,,Yes,No,No,,,,,,,,,,,,No,,,,"Living area (residential, urban or rural)",,,,,,No,No,No,No,Not connected,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9970547,,1957,To be done up,,,,,,,3,,,,1,2,,No,80m²square meters,,,No,No,Not specified,Not specified,20220630-0002632880-KNR-1,Not specified,Not specified,,,Yes,"€ 269,000269000 €",,No,Stationstraat 4/1 8770- Ingelmunster,http://www.immo-casa.be,IZEG/ROES28/KC,West Flanders,,,,,No,No,,,No,No,No,No,Yes,No,,,Yes,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)",Yes,Yes,,No,,No,No,No,No,Connected,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10090653,,2022,,,,,,,,4,,,,1,2,,,439m²square meters,Yes,West,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,,,No,"€ 380,440380440 €",,No,Wakkensteenweg 67 8710- Wielsbeke,http://www.vastgoedcanniere.be,De Maurissenstraat L,West Flanders,,,,Yes,No,No,,,No,No,No,No,Yes,No,,,Yes,No,No,,,"Living area (residential, urban or rural)",Yes,,Yes,Yes,,No,No,No,No,Connected,No,Yes,,,November 1 2023 - 12:00 AM,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
10090654,,2022,,,,,,,,3,,,,1,2,,,439m²square meters,Yes,West,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,,,No,"€ 385,460385460 €",,No,Wakkensteenweg 67 8710- Wielsbeke,http://www.vastgoedcanniere.be,De Maurissenstraat L,West Flanders,,,,Yes,No,No,,,No,No,No,No,Yes,No,,,Yes,No,No,,,"Living area (residential, urban or rural)",Yes,,Yes,Yes,,No,No,No,No,Connected,No,Yes,,,November 1 2023 - 12:00 AM,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
10090651,,2022,,,,,,,,3,,,,1,2,,,439m²square meters,Yes,West,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,,,No,"€ 390,636390636 €",,No,Wakkensteenweg 67 8710- Wielsbeke,http://www.vastgoedcanniere.be,De Maurissenstraat L,West Flanders,,,,Yes,No,No,,,No,No,No,No,Yes,No,,,Yes,No,No,,,"Living area (residential, urban or rural)",Yes,,Yes,Yes,,No,No,No,No,Connected,No,Yes,,,November 1 2023 - 12:00 AM,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
10090652,,2022,,,,,,,,3,,,,1,2,,,439m²square meters,Yes,West,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,,,No,"€ 403,420403420 €",,No,Wakkensteenweg 67 8710- Wielsbeke,http://www.vastgoedcanniere.be,De Maurissenstraat L,West Flanders,,,,Yes,No,No,,,No,No,No,No,Yes,No,,,Yes,No,No,,,"Living area (residential, urban or rural)",Yes,,Yes,Yes,,No,No,No,No,Connected,No,Yes,,,November 1 2023 - 12:00 AM,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
9702261,,2022,,,1,79m²square meters,,Installed,,2,,,,1,,,No,,Yes,South,,,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,Yes,"€ 299,000299000 €",,No,Artanlaan 2 8620- Nieuwpoort,https://www.century21seaport.be/nl/,3153669,West Flanders,,,,Yes,No,No,,,,,,,,,,,Yes,No,No,No,Non flood zone,Residential recreation area,,,Yes,No,,No,No,No,No,Connected,No,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,
9139380,,2019,,,,,,,,3,,,,,,,No,391m²square meters,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,No,"€ 318,396318396 €",,No,206 Moorselestraat 8930- Menen,,PB-Beernem-200130-02,West Flanders,,,,,No,No,,,,,,,,,,,,No,,,,,,,,,,No,No,No,No,Not connected,No,,,,,,,,,,,,,,,,,,,All kind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10090655,,2022,,,,,,,,3,,,,1,2,,,439m²square meters,Yes,West,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,,,No,"€ 381,882381882 €",,No,Wakkensteenweg 67 8710- Wielsbeke,http://www.vastgoedcanniere.be,De Maurissenstraat L,West Flanders,,,,Yes,No,No,,,No,No,No,No,Yes,No,,,Yes,No,No,,,"Living area (residential, urban or rural)",Yes,,Yes,Yes,,No,No,No,No,Connected,No,Yes,,,November 1 2023 - 12:00 AM,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
10090657,,2022,,,,,,,,3,,,,1,2,,,439m²square meters,Yes,West,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,,,No,"€ 430,312430312 €",,No,Wakkensteenweg 67 8710- Wielsbeke,http://www.vastgoedcanniere.be,De Maurissenstraat L,West Flanders,,,,Yes,No,No,,,No,No,No,No,Yes,No,,,Yes,No,No,,,"Living area (residential, urban or rural)",Yes,,Yes,Yes,,No,No,No,No,Connected,No,Yes,,,November 1 2023 - 12:00 AM,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
10090650,,2022,,,,,,,,4,,,,1,2,,,439m²square meters,Yes,West,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,,,No,"€ 389,822389822 €",,No,Wakkensteenweg 67 8710- Wielsbeke,http://www.vastgoedcanniere.be,De Maurissenstraat L,West Flanders,,,,Yes,No,No,,,No,No,No,No,Yes,No,,,Yes,No,No,,,"Living area (residential, urban or rural)",Yes,,Yes,Yes,,No,No,No,No,Connected,No,Yes,,,November 1 2023 - 12:00 AM,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
9957508,,1960,,,,,,,,9,,,,3,,,,,,,No,No,236 kWh/m²kilowatt hour per square meters,C,20181222--000125717-1--4,Not specified,Not specified,,,No,"€ 850,000850000 €",,Yes,Scheepsdalelaan 31 8000- Brugge,,EDM,West Flanders,,3,,Yes,No,No,,,No,No,No,No,Yes,No,,,,No,No,,Non flood zone,"Living area (residential, urban or rural)",,Yes,,,,No,No,No,No,Connected,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10165452,,1936,Good,2,3,184m²square meters,,Installed,,3,,,,2,,,No,154m²square meters,,,,,339 kWh/m²kilowatt hour per square meters,D,20220121-0002530575-RES-1,Not specified,Not specified,,Gas,,"€ 219,000219000 €","€ 1,1651165 €",Yes,Jules de Troozlaan 24 8370- Blankenberge,http://www.dewaele.com,D8370-F1392a,West Flanders,,,Urban,,,,,,,,,,,,,,Yes,,Yes,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,,,,,,,,,,,,,,,,8m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10155652,,1957,To be done up,4,,221m²square meters,,Installed,,4,,,,1,1,,No,753m²square meters,,,,,797 kWh/m²kilowatt hour per square meters,F,2616796,Not specified,Not specified,,Fuel oil,,"€ 550,000550000 €","€ 1,1031103 €",No,Albert I-laan 173/J 8620- Nieuwpoort,http://www.dewaele.com,D8620-22015,West Flanders,,,Urban,,,,,,,,,,,,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,,,,,,,,,,,,,,,,40m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10161962,,1930,Good,4,,151m²square meters,,Semi equipped,,5,,,,2,2,,No,91m²square meters,,,,,345 kWh/m²kilowatt hour per square meters,D,2551333,Not specified,Not specified,,Gas,,"€ 258,000258000 €",€ 658658 €,Yes,Boterstraat 47 8900- Ieper,http://www.dewaele.com/,D8900-22257,West Flanders,,,Urban,,,,,,,,,,,,,,,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10165453,,1936,Good,2,3,184m²square meters,,Installed,,3,,,,2,,,No,154m²square meters,,,,,339 kWh/m²kilowatt hour per square meters,D,20220121-0002530575-RES-1,Not specified,Not specified,,Gas,,"€ 219,000219000 €","€ 1,1651165 €",No,Jules de Troozlaan 24 8370- Blankenberge,http://www.dewaele.com,D8370-F1392,West Flanders,,,Urban,,,,,,,,,,,,,,Yes,,Yes,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,,,,,,,,,,,,,,,,8m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10159377,,1977,Good,4,,383m²square meters,,Installed,,3,,,,1,2,,No,2021m²square meters,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,Fuel oil,,"€ 549,000549000 €","€ 1,6751675 €",No,Vlamingstraat 62 8000- Brugge,http://www.dewaele.com,D8000-H1487,West Flanders,,,"Living area (residential, urban or rural)",,,,,2021m²square meters,,,,,,,,,,,,No,Non flood zone,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10036929,,1948,To renovate,4,,260m²square meters,,Installed,,3,,,,1,2,,No,4831m²square meters,,,,,492 kWh/m²kilowatt hour per square meters,E,2644624,Not specified,Not specified,,Fuel oil,,"€ 495,000495000 €","€ 1,1001100 €",No,Stationsstraat 33 9880- Aalter,http://www.dewaele.com,D9880-22069,West Flanders,,,Countryside,,,,,,,,,,,,,,,,No,No,Possible flood zone,"Living area (residential, urban or rural)",,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10126831,,1975,To be done up,4,4,428m²square meters,,Installed,,5,,,,1,1,,No,1500m²square meters,,,,,609 kWh/m²kilowatt hour per square meters,F,2588565,Not specified,Not specified,,Fuel oil,,"€ 895,000895000 €","€ 2,3892389 €",No,Zeelaan 176A 8670- Koksijde,http://www.dewaele.com/,D8670-22033,West Flanders,,,"Living area (residential, urban or rural)",,,,,,,,,,,,,,Yes,,Yes,No,Non flood zone,"Living area (residential, urban or rural)",,,,Yes,,,,,,,,,,,,,,,,45m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10163828,,1980,As new,4,,424m²square meters,,Hyper equipped,,5,,,,2,,,No,5193m²square meters,,,,,276 kWh/m²kilowatt hour per square meters,C,2623548,Not specified,Not specified,,Gas,,"€ 849,000849000 €","€ 2,0372037 €",No,Doorniksestraat 33 8500- Kortrijk,http://www.dewaele.com/,D8500-22414,West Flanders,,,Urban,,,,,,,,,,,,,,Yes,,No,No,Possible flood zone,"Living area (residential, urban or rural)",,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10107988,,1998,As new,4,6,290m²square meters,,Installed,,5,,,,2,4,,No,9163m²square meters,,,,,344 kWh/m²kilowatt hour per square meters,D,2561917,Not specified,Not specified,,Fuel oil,,"€ 935,000935000 €","€ 1,3411341 €",No,Noordstraat 10 8630- Veurne,http://www.vanderbuild.com,D8630-22025,West Flanders,,,Countryside,,,,,9163m²square meters,,,,,,,,,Yes,,No,No,Non flood zone,Area of landscape interest,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10145090,,1952,Good,3,,180m²square meters,,Installed,,3,,,,1,1,,No,135m²square meters,,,,,257 kWh/m²kilowatt hour per square meters,C,2670549,Not specified,Not specified,,Gas,,"€ 249,000249000 €",€ 495495 €,No,Doorniksestraat 33 8500- Kortrijk,http://www.dewaele.com/,D8500-22374,West Flanders,,,Urban,,,,,,,,,,,,,,,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10165455,,1930,Good,2,,119m²square meters,,Installed,,2,,,,1,1,,No,141m²square meters,,,,,499 kWh/m²kilowatt hour per square meters,E,20190522-0002162628-RES-1,Not specified,Not specified,,Gas,,"€ 149,000149000 €",€ 322322 €,No,"Kortrijksesteenweg, 1121 9051- Gent",http://www.soldandset.be,SAS-22071,West Flanders,,,Urban,,,,,,,,,,,,,,,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,,,,,,,,,,,,,,,,15m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10149771,,1900,Good,3,,200m²square meters,,,,2,,,,1,2,,No,198m²square meters,,,,,409 kWh/m²kilowatt hour per square meters,E,20220412-0002582804-RES-1,Not specified,Not specified,,Gas,,"€ 299,000299000 €",,No,Jules de Troozlaan 24 8370- Blankenberge,http://www.dewaele.com,D8300-F1388,West Flanders,,,Urban,,,,,78m²square meters,,,,,,,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10154513,,1952,Just renovated,3,3,375m²square meters,,Hyper equipped,,3,,,,2,1,,No,607m²square meters,,,,,350 kWh/m²kilowatt hour per square meters,D,2665262,Not specified,Not specified,,Gas,,"€ 395,000395000 €","€ 1,1181118 €",No,Doorniksestraat 33 8500- Kortrijk,http://www.dewaele.com/,D8500-22365,West Flanders,,,Urban,,,,,250m²square meters,,,,,,,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,,,,,,,,,,,November 1 2023 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10149768,,1967,Good,2,2,412m²square meters,,,,6,,,,4,4,,No,120m²square meters,,,,,106 kWh/m²kilowatt hour per square meters,B,20220818-0002657624-RES-1,Not specified,Not specified,,Gas,,"€ 699,000699000 €","€ 1,1721172 €",No,Vlamingstraat 62 8000- Brugge,http://www.dewaele.com,D8000-F1385,West Flanders,,,Urban,,,,,,,,,,,,,,,,No,No,Non flood zone,Residential area with cultural historical aesthetic value,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10163200,,1934,Good,2,1,191m²square meters,,Installed,,3,,,,1,1,,No,143m²square meters,,,,,Not specified,Not specified,20221002-0002685573-RES-1,Not specified,Not specified,,Gas,,"€ 309,000309000 €",€ 466466 €,No,Vlamingstraat 62 8000- Brugge,http://www.dewaele.com,D8000-F1391,West Flanders,,,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,No,No,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
