,Available as of,Available date,Construction year,Building condition,Number of frontages,Outdoor parking spaces,Surroundings type,Living area,Living room surface,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bathrooms,Shower rooms,Toilets,Office surface,Office,Furnished,Surface of the plot,Connection to sewer network,"Gas, water &amp; electricity",Garden surface,Elevator,Accessible for disabled people,TV cable,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Planning permission obtained,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Street frontage width,Covered parking spaces,Bedroom 3 surface,Bedroom 4 surface,Basement,Attic,Width of the lot on the street,Terrace surface,Double glazing,Total ground floor buildable,Virtual visit,Bedroom 5 surface,Conformity certification for fuel tanks,Terrace,Neighbourhood or locality,Dining room,Secure access / alarm,Dressing room,Basement surface,Land is facing street,Wooded land,Plot at rear,Flat land,Garden,Garden orientation,Caretaker,Intercom,Visio phone,Type of building,Obligation to build,E-level (overall energy performance),Thermic solar panels,How many fireplaces?,Laundry room,Professional space surface,Professional space,Attic surface,Armored door,Terrace orientation,Number of annexes,Air conditioning,Jacuzzi,Sauna,Internet,Heat pump,Photovoltaic solar panels,Common water heater,Living room,Agent's name,Current monthly revenue,Isolated,Venue of the sale,Single session,Terms of visit,Starting price,Property name,Percentage rented,Monthly charges,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitants,Date of the sale
10164661,After signing the deed,,1963,,3,2,"Living area (residential, urban or rural)",150m²square meters,,,,3,,,,,,,,,550m²square meters,,Yes,,,,,,493 kWh/m²kilowatt hour per square meters,E,20220913-0002673913-RES-1,Not specified,Not specified,,Gas,Yes,Yes,No,No,Non flood zone,Extended residential area,"€ 260,000260000 €",€ 510510 €,,Wiezeplein 13 9280- Wieze,http://www.immo-desk.be,,East Falnders,,1,,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
10143590,After signing the deed,,,To be done up,2,,"Living area (residential, urban or rural)",,27m²square meters,,,3,14m²square meters,14m²square meters,1,,1,,,No,178m²square meters,Connected,Yes,,,,,,1282 kWh/m²kilowatt hour per square meters,F,20220524-0002610254-RES-1,Not specified,Not specified,No,Electric,,,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 135,000135000 €",,,Scheepsdalelaan 60 8000- Brugge,,,East Falnders,5.7 m,,7m²square meters,6m²square meters,,,5.7 mmeters,,,,,,No,,Ursel,Yes,,,,,,,Yes,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Xavier Steyaert,,,,,,,,,,,,,,,,,,
10165393,After signing the deed,,1964,Good,4,3,,17842m²square meters,29m²square meters,Installed,13m²square meters,3,17m²square meters,15m²square meters,1,,1,,No,,1875m²square meters,Connected,No,1700m²square meters,No,No,Yes,No,Not specified,Not specified,202210050002686648RES1,Not specified,Not specified,"Yes, conform",Fuel oil,Yes,Yes,Yes,No,Non flood zone,,"€ 538,000538000 €",€ 836836 €,No,,,,East Falnders,22 m,1,8m²square meters,,,,25 mmeters,32m²square meters,Yes,,,,,,,Yes,No,No,,Yes,No,No,No,,,No,No,No,All kind,,,No,1,Yes,18m²square meters,No,114m²square meters,No,South West,,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,
10144008,To be defined,,2006,Good,2,2,,166m²square meters,,,,2,17m²square meters,34m²square meters,2,,2,,No,,282m²square meters,,Yes,160m²square meters,No,No,Yes,No,97 kWh/m²kilowatt hour per square meters,A,20220819-0002658567-RES-1,Not specified,Not specified,"Yes, conform",Gas,Yes,,,No,Non flood zone,,"€ 448,000448000 €",,No,,,,East Falnders,,,,,,,,22m²square meters,Yes,,,,,,,,No,No,,No,No,No,No,,South East,No,No,Yes,All kind,,,No,,,,No,,No,South East,,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,
10156460,Immediately,,,Just renovated,2,,,,,Installed,,3,,,1,,2,,No,,200m²square meters,Connected,Yes,120m²square meters,,,,,161 kWh/m²kilowatt hour per square meters,B,20220222-0002284220-RES-2,Not specified,Not specified,,Gas,Yes,Yes,Yes,No,,,"€ 289,000289000 €",,No,,,,East Falnders,,,,,,Yes,,16m²square meters,Yes,,,,"Yes, conform",,,,,No,,No,No,No,No,,South West,,,,All kind,,,No,,Yes,,No,,No,South West,,,,,,No,No,No,Yes,,,,,,,,,,,,,,,,,,,
10092732,After signing the deed,,1976,To be done up,2,,Urban,275m²square meters,,,,,,,,,,,,,890m²square meters,Connected,Yes,,,,,,Not specified,Not specified,20200908-0002312704-KNR-1,Not specified,Not specified,,Gas,Yes,No,No,No,,"Living area (residential, urban or rural)","Make an offer starting from€ 225,000Make an offer starting from225000 €","€ 1,5491549 €",Yes,Brusselsesteenweg 594 1731- Zellik,http://www.immodavid.be,4901447,East Falnders,9 m,1,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
10021697,At delivery,,2023,As new,3,,,,40m²square meters,Installed,,3,12m²square meters,11m²square meters,1,1,2,,No,No,217m²square meters,,,,No,No,Yes,No,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 365,000365000 €",,No,"Stationsstraat, 72 9860- Oosterzele",http://www.de-geyter.be,KER-1,East Falnders,,,9m²square meters,,,,,,Yes,,,,No,,,,No,No,,,,,,Yes,South,No,No,No,,No,30,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,
10101090,Immediately,,1957,As new,3,,Countryside,230m²square meters,,Hyper equipped,,5,,,2,,2,,No,No,1600m²square meters,,,,,,,,162 kWh/m²kilowatt hour per square meters,B,202206250002629852,Not specified,Not specified,,Gas,,,,,,Extended residential area,"€ 465,000465000 €",,No,"av Charles Quint, 305 1083- Ganshoren",http://www.joninvest.be,Ninove,East Falnders,,,,,,,,,Yes,,,,No,,,,,No,,,,,,,,,,,,No,,,,,,,,,,,,,,,No,,,Yes,,,,,,,,,,,,,,,,,,,
10145218,To be defined,,1969,Good,3,10,Urban,150m²square meters,25m²square meters,,16m²square meters,4,14m²square meters,13m²square meters,1,,2,5m²square meters,Yes,,815m²square meters,Connected,No,,,,Yes,,981 kWh/m²kilowatt hour per square meters,F,0002576517-RES-1,Not specified,Not specified,,,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 450,000450000 €","€ 2,5472547 €",Yes,Grote Baan 170 9310- Herdersem,,4963024,East Falnders,,1,8m²square meters,,Yes,Yes,,,,,,,,Yes,Aalst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10083245,After signing the deed,,,To be done up,2,,"Living area (residential, urban or rural)",170m²square meters,42m²square meters,Installed,8m²square meters,3,11m²square meters,18m²square meters,1,,1,,No,No,275m²square meters,,,190m²square meters,,,,,323 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,,Gas,,,,,,Extended residential area,"€ 280,000280000 €",,No,"Gentsesteenweg, 736 1080- Molenbeek-St-Jean",http://www.sybimmo.be,KAK36,East Falnders,,,11m²square meters,,,,,,Yes,,,,No,,,,,No,,,,,,,North West,,,,,No,,,,Yes,,,15m²square meters,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,
10161614,After signing the deed,,,Just renovated,3,,,167m²square meters,,,,3,,,,,2,,No,,299m²square meters,,No,100m²square meters,,,,,196 kWh/m²kilowatt hour per square meters,B,Not specified,Not specified,Not specified,,Gas,,,,,Non flood zone,,"€ 385,000385000 €",,No,,,,East Falnders,,,,,Yes,Yes,,20m²square meters,Yes,,,,,,,Yes,,Yes,,No,No,No,No,,South,,,,All kind,,,No,,Yes,,No,,No,South,,,,,,No,No,No,Yes,,,,,,,,,,,,,,,,,,,
10001441,After signing the deed,,,,2,,Urban,110m²square meters,,Installed,,3,,,1,,,,No,,60m²square meters,,Yes,,,,,,198 kWh/m²kilowatt hour per square meters,B,Not specified,Not specified,Not specified,,Gas,Yes,No,,No,Non flood zone,,"€ 310,000310000 €",,No,,,,East Falnders,,,,,Yes,Yes,,10m²square meters,Yes,,,,,,,Yes,,No,,No,No,No,No,,,,,,All kind,,,No,,,,No,,No,South East,,,,,,No,No,No,Yes,,,,,,,,,,,,,,,,,,,
10146749,Immediately,,,As new,2,,,120m²square meters,,,,3,,,1,,2,,No,,100m²square meters,Connected,Yes,,,,,,146 kWh/m²kilowatt hour per square meters,B,0002648930,Not specified,Not specified,,Gas,,,,,Non flood zone,,"€ 340,000340000 €",,No,,,,East Falnders,,,,,,,,,Yes,,,,,,,,,No,,No,No,No,No,,,,,,All kind,,,Yes,,,,No,,No,,,,,,,No,Yes,No,,,,,,,,,,,,,,,,,,,,
10127342,Immediately,,,To be done up,2,,,60m²square meters,,Installed,20m²square meters,1,20m²square meters,,1,,1,,No,,20m²square meters,Connected,Yes,,No,No,Yes,No,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,,,,,,,"€ 174,000174000 €",,No,,,,East Falnders,4 m,,,,,,4 mmeters,,No,,,,,,,,No,No,,Yes,No,No,No,,,No,No,No,All kind,,,No,,,,No,,No,,,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,
10130356,After signing the deed,,1960,To renovate,3,2,Urban,137m²square meters,37m²square meters,,15m²square meters,3,25m²square meters,15m²square meters,1,,,,,,1063m²square meters,Connected,Yes,,,,Yes,,621 kWh/m²kilowatt hour per square meters,F,0002614403-RES-1,Not specified,Not specified,,Gas,Yes,No,No,No,Possible flood zone,"Living area (residential, urban or rural)","€ 310,000310000 €",€ 773773 €,No,Grote Baan 170 9310- Herdersem,,4956830,East Falnders,,1,14m²square meters,,,Yes,,,Yes,,,,,Yes,Aalst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10125016,After signing the deed,,1972,Good,4,2,,137m²square meters,,Installed,,3,,,1,,,,,No,4997m²square meters,,,,,,,,592 kWh/m²kilowatt hour per square meters,F,20220909-0002671212-RES-1,Not specified,Not specified,,Gas,Yes,No,No,,Non flood zone,,"€ 350,000350000 €",,No,Hoogstraat 70 9250- Waasmunster,http://www.bellestate.be,4904589,East Falnders,,1,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10083617,After signing the deed,,1986,,4,,Urban,129m²square meters,32m²square meters,,10m²square meters,3,16m²square meters,13m²square meters,1,,1,,,,578m²square meters,Connected,Yes,,,,Yes,,177 kWh/m²kilowatt hour per square meters,B,Not specified,Not specified,Not specified,,Gas,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 349,000349000 €",€ 602602 €,No,Affligemsestraat 443 1770- Liedekerke,http://www.immoteam.be,4891337,East Falnders,,1,9m²square meters,,,,,,Yes,,,,,Yes,,,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10108327,After signing the deed,,2008,As new,2,1,"Living area (residential, urban or rural)",125m²square meters,,Installed,,3,,,1,,2,,No,No,,Connected,Yes,1m²square meter,No,No,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,,,,,Non flood zone,,"€ 365,000365000 €",,No,,,,East Falnders,6 m,,,,Yes,,,1m²square meter,Yes,,,,,,,Yes,No,No,,Yes,No,No,No,,South,No,Yes,No,,,,No,,Yes,,No,,No,South,,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,
10107299,To be defined,,2009,Good,3,,,,31m²square meters,,25m²square meters,4,19m²square meters,21m²square meters,1,,2,,No,,232m²square meters,Connected,Yes,70m²square meters,No,No,Yes,No,138 kWh/m²kilowatt hour per square meters,B,20220912-0002672716-RES-1,Not specified,Not specified,"Yes, conform",Gas,Yes,,,No,Non flood zone,,"€ 425,000425000 €","€ 1,0381038 €",No,,,,East Falnders,,1,13m²square meters,36m²square meters,,,,24m²square meters,Yes,,,,,,,,No,No,19m²square meters,Yes,No,No,Yes,,East,No,No,No,,No,,No,,Yes,,No,,No,,,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,
9951186,To be defined,,1868,,2,,"Living area (residential, urban or rural)",458m²square meters,94m²square meters,Installed,51m²square meters,7,24m²square meters,21m²square meters,2,,2,,,,5951m²square meters,,No,,,,,,400 kWh/m²kilowatt hour per square meters,D,2070674,Not specified,Not specified,,Gas,,,,,,,"€ 725,000725000 €",,No,Onze-Lieve-Vrouwstraat 12 9280- Lebbeke,http://www.ax.immo,4788718,East Falnders,18.5 m,,17m²square meters,15m²square meters,,,18.5 mmeters,,,374m²square meters,,13m²square meters,,,Regio Lebbeke,,,,,,,,,,,,,,,,,,,,,,166m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10015883,After signing the deed,,,To be done up,2,1,,88m²square meters,30m²square meters,Installed,14m²square meters,1,30m²square meters,,1,,1,,No,,,Connected,Yes,,No,No,Yes,No,265 kWh/m²kilowatt hour per square meters,C,Not specified,Not specified,Not specified,,Gas,,,,,,,"€ 189,000189000 €",,Yes,,,,East Falnders,4 m,1,,,,,,6m²square meters,Yes,,,,,,,Yes,No,No,,No,No,No,No,,,No,No,No,All kind,,,No,,Yes,,No,,No,,,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,
10112798,After signing the deed,,,As new,2,,Urban,,,Hyper equipped,,4,,,2,2,3,,Yes,,136m²square meters,Connected,Yes,,,,,,270 kWh/m²kilowatt hour per square meters,C,Not specified,Not specified,Not specified,No,Gas,Yes,No,No,No,,"Living area (residential, urban or rural)","€ 237,000237000 €",€ 584584 €,,Industrielaan 14 9620- Zottegem,http://www.woonverkoop.be,,East Falnders,,,,,Yes,,,,Yes,,,,,Yes,,Yes,,,,,,,,Yes,South,,,,,,,,1,Yes,,,,,,,,,,,,,,Yes,Woonverkoop,,,,,,,,,,,,,,,,,,
10130354,After signing the deed,,1968,To renovate,3,3,Urban,133m²square meters,26m²square meters,Semi equipped,21m²square meters,3,16m²square meters,15m²square meters,1,,,,,,721m²square meters,Connected,No,,,,,,927 kWh/m²kilowatt hour per square meters,F,0002678982-RES-1,Not specified,Not specified,,,Yes,No,No,No,Possible flood zone,"Living area (residential, urban or rural)","€ 259,000259000 €",€ 654654 €,No,Grote Baan 170 9310- Herdersem,,4944833,East Falnders,,1,11m²square meters,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10092583,After signing the deed,,,Good,2,,Urban,218m²square meters,26m²square meters,Hyper equipped,18m²square meters,3,18m²square meters,14m²square meters,1,,2,,,,163m²square meters,Connected,Yes,,,,Yes,,251 kWh/m²kilowatt hour per square meters,C,0002607839-RES-1,Not specified,Not specified,,Gas,Yes,No,No,No,Possible flood zone,"Living area (residential, urban or rural)","€ 269,000269000 €",€ 498498 €,No,Grote Baan 170 9310- Herdersem,,4900432,East Falnders,,1,12m²square meters,,,Yes,,,Yes,,Link to the virtual visit,,,Yes,Aalst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10007764,After signing the deed,,,Good,2,,"Living area (residential, urban or rural)",140m²square meters,40m²square meters,Hyper equipped,13m²square meters,3,10m²square meters,20m²square meters,1,,2,,,No,,Connected,No,,No,,,No,415 kWh/m²kilowatt hour per square meters,E,2523325,Not specified,Not specified,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 295,000295000 €",€ 765765 €,No,Stationstraat 79 1861- Wolvertem,http://www.colorcasa.be,4840525,East Falnders,,1,22m²square meters,,,,,50m²square meters,Yes,,Link to the virtual visit,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10092582,After signing the deed,,,Good,2,,Urban,218m²square meters,26m²square meters,Hyper equipped,18m²square meters,3,18m²square meters,14m²square meters,1,,2,,,,163m²square meters,Connected,Yes,,,,Yes,,251 kWh/m²kilowatt hour per square meters,C,0002607839-RES-1,Not specified,Not specified,,Gas,Yes,No,No,No,Possible flood zone,"Living area (residential, urban or rural)","€ 269,000269000 €",€ 498498 €,No,Grote Baan 170 9310- Herdersem,,4900430,East Falnders,,1,12m²square meters,,,Yes,,,Yes,,Link to the virtual visit,,,Yes,Aalst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10116412,To be defined,,,,4,,Countryside,194m²square meters,18m²square meters,Installed,16m²square meters,2,,,1,,2,,No,,908m²square meters,,Yes,520m²square meters,No,No,Yes,No,279 kWh/m²kilowatt hour per square meters,C,20191031-0002213755-RES-1,Not specified,Not specified,,,Yes,,,No,Non flood zone,,"€ 379,000379000 €",€ 314314 €,No,,,,East Falnders,,,,,Yes,,,,Yes,,,,,,,Yes,No,Yes,,No,No,No,No,,,No,Yes,No,All kind,No,,No,,Yes,,No,,No,,,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,
10128937,To be defined,,1987,As new,3,4,"Living area (residential, urban or rural)",160m²square meters,,,,3,,,,,,,,,433m²square meters,,Yes,,,,,,383 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,,,Yes,Yes,No,No,Possible flood zone,Extended residential area,"€ 415,000415000 €",€ 676676 €,,Wiezeplein 13 9280- Wieze,http://www.immo-desk.be,,East Falnders,14 m,,,,,,14 mmeters,,Yes,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,1,Yes,,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,
10070099,Immediately,,1959,To renovate,4,,"Living area (residential, urban or rural)",207m²square meters,,,,3,,,1,,2,,No,,1039m²square meters,Connected,Yes,1m²square meter,No,No,No,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,,Fuel oil,Yes,,No,No,,,"€ 399,000399000 €",,No,,,,East Falnders,9 m,,,,Yes,,15 mmeters,1m²square meter,No,,,,,,,,No,Yes,,No,No,No,No,,,No,No,No,All kind,,,No,,,,No,,No,,,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,
10167084,To be defined,,1974,To be done up,4,,,,,Installed,,3,,,1,,2,,No,,940m²square meters,Connected,Yes,1m²square meter,,,,,245 kWh/m²kilowatt hour per square meters,C,EP17889,Not specified,Not specified,,Gas,,,,,,,"€ 390,000390000 €",,No,,,,East Falnders,,,,,,,,1m²square meter,Yes,,,,,,,,,No,,Yes,No,No,Yes,,,,,,Bungalow,,,No,1,,,No,,No,,,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,
10145216,After signing the deed,,1965,To renovate,4,8,Isolated,176m²square meters,37m²square meters,,7m²square meters,4,18m²square meters,18m²square meters,1,,,,Yes,,1755m²square meters,Connected,No,,,,Yes,,938 kWh/m²kilowatt hour per square meters,F,0002684615-RES-1,Not specified,Not specified,,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 399,000399000 €",€ 734734 €,No,Grote Baan 170 9310- Herdersem,,4961821,East Falnders,,3,13m²square meters,15m²square meters,Yes,,,,,,,,,Yes,Aalst,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10164771,After signing the deed,,1938,Good,2,,,,,Installed,,2,,,1,,1,,,,100m²square meters,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,No,,,Non flood zone,,"€ 219,000219000 €",€ 329329 €,No,"Polenlaan, 55 9190- Stekene",http://www.notarisfrankmuller.be/,,East Falnders,,,,,Yes,Yes,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Merel DE SAEGHER,,,,,,,,,,,,,,,,,,
10099035,After signing the deed,,,As new,2,,Urban,191m²square meters,40m²square meters,Hyper equipped,11m²square meters,4,15m²square meters,16m²square meters,1,,3,,Yes,,134m²square meters,Connected,Yes,,,,Yes,,Not specified,Not specified,EP13566/A001/D01/SD001,Not specified,Not specified,,Gas,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 349,000349000 €",,No,Grote Baan 170 9310- Herdersem,,4903392,East Falnders,,,16m²square meters,15m²square meters,,,,,Yes,,Link to the virtual visit,,,Yes,Aalst,,,,,,,,,,,,,,,,30,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10159732,After signing the deed,,2009,Just renovated,4,6,,718m²square meters,,Hyper equipped,,5,,,2,,2,,No,No,1521m²square meters,,,,No,No,Yes,Yes,120 kWh/m²kilowatt hour per square meters,B,2681612,Not specified,Not specified,,Gas,Yes,Yes,Yes,No,,"Living area (residential, urban or rural)","€ 1,985,0001985000 €",,No,Kortrijksesteenweg 118 9830- Sint-Martens-Latem,http://www.engelvoelkers.com/latem,W-02Q5DY,East Falnders,,2,,,,,,,Yes,,,,No,,,,Yes,Yes,,,,,,,,No,Yes,No,,No,,,2,Yes,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,
10138403,After signing the deed,,1970,,4,3,Urban,344m²square meters,43m²square meters,,13m²square meters,3,14m²square meters,14m²square meters,2,1,,,Yes,,1459m²square meters,Connected,No,,,,Yes,,356 kWh/m²kilowatt hour per square meters,D,0002211059-RES-1,Not specified,Not specified,,Fuel oil,Yes,No,Yes,No,Possible flood zone,"Living area (residential, urban or rural)","€ 475,000475000 €","€ 1,0531053 €",No,Grote Baan 170 9310- Herdersem,,4959850,East Falnders,,1,8m²square meters,,,Yes,,,Yes,,Link to the virtual visit,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10138402,After signing the deed,,1970,,4,3,Urban,344m²square meters,43m²square meters,,13m²square meters,3,14m²square meters,14m²square meters,2,1,,,Yes,,1459m²square meters,Connected,No,,,,Yes,,356 kWh/m²kilowatt hour per square meters,D,0002211059-RES-1,Not specified,Not specified,,Fuel oil,Yes,No,Yes,No,Possible flood zone,"Living area (residential, urban or rural)","€ 475,000475000 €","€ 1,0531053 €",No,Grote Baan 170 9310- Herdersem,,4959849,East Falnders,,1,8m²square meters,,,Yes,,,Yes,,Link to the virtual visit,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10047730,Immediately,,,To renovate,2,,"Living area (residential, urban or rural)",139m²square meters,30m²square meters,,18m²square meters,3,16m²square meters,14m²square meters,1,,,,,,60m²square meters,,Yes,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,,,,,,,"€ 149,000149000 €",€ 287287 €,,Provincieweg 243 9550- Herzele,,,East Falnders,4.5 m,,12m²square meters,,,,,3m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10138414,After signing the deed,,2021,As new,3,,Urban,208m²square meters,42m²square meters,USA hyper equipped,14m²square meters,3,19m²square meters,19m²square meters,2,,3,,,No,379m²square meters,,No,,,,Yes,,Not specified,Not specified,Not specified,Not specified,Not specified,,,Yes,Yes,No,No,Recognized flood zone,"Living area (residential, urban or rural)","€ 519,000519000 €",,No,Affligemsestraat 443 1770- Liedekerke,http://www.immoteam.be,4960217,East Falnders,,,13m²square meters,,,,,,Yes,,,,,Yes,Denderleeuw,,,,,,,,,,,,,,,,20,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9597867,Immediately,,,To renovate,2,,Urban,150m²square meters,,,,4,,,1,,1,,No,No,60m²square meters,Connected,Yes,,No,No,Yes,No,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,,,,,,,"€ 130,000130000 €",,No,,,,East Falnders,7 m,,,,Yes,Yes,,,No,,,,,,,,No,No,,No,No,No,No,,,No,Yes,No,All kind,,,No,,,,No,,No,,,Yes,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,
9542524,After signing the deed,,1967,To restore,2,,Urban,137m²square meters,,,,,,,,,2,,,,211m²square meters,Connected,Yes,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 174,000174000 €",€ 420420 €,Yes,Ninoofsesteenweg 1036 1703- Schepdaal,http://www.hetwoonburo.be,4447007,East Falnders,3.25 m,,,,,,3.25 mmeters,38m²square meters,Yes,173m²square meters,,,,,Aalst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10095651,To be defined,,,As new,2,,,,,,,3,12m²square meters,,1,2,2,,No,,290m²square meters,,No,,,,,,187 kWh/m²kilowatt hour per square meters,B,20220711-0002638671-RES-1,Not specified,Not specified,,Gas,,,,,Non flood zone,,"€ 319,000319000 €",,No,,,,East Falnders,,,,,,,,,No,,,,"Yes, conform",,,,,No,,No,No,Yes,No,,,,,,All kind,,,No,,,,No,,No,,,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,
10072086,At delivery,,2020,As new,2,1,,115m²square meters,,,,2,,,1,,,,,,120m²square meters,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,Yes,No,No,,,"Living area (residential, urban or rural)","€ 262,000262000 €",,No,Hoogstraat 70 9250- Waasmunster,http://www.bellestate.be,4891243,East Falnders,,,,,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9984610,Immediately,,2022,As new,2,2,Fitted out,,40m²square meters,,,3,12m²square meters,10m²square meters,1,,2,,No,,153m²square meters,Connected,Yes,80m²square meters,No,No,Yes,No,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,Yes,,No,No,Non flood zone,,"€ 320,000320000 €",,No,,,,East Falnders,7 m,,8m²square meters,,,,,20m²square meters,Yes,,,,,,,,No,No,,Yes,No,No,No,,,No,No,No,,,,Yes,,Yes,,No,,No,,,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,
10086926,After signing the deed,,1963,,2,,"Living area (residential, urban or rural)",105m²square meters,28m²square meters,,14m²square meters,3,17m²square meters,12m²square meters,1,,2,,No,,220m²square meters,Connected,Yes,140m²square meters,No,No,Yes,No,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,,,,,Non flood zone,,"€ 269,000269000 €",,No,,,,East Falnders,8 m,,14m²square meters,,Yes,Yes,,24m²square meters,Yes,,,,,,,,No,No,,Yes,No,No,Yes,,North,No,No,No,,,,No,,,,No,,No,North,,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,
10031738,After signing the deed,,1965,To renovate,4,3,"Living area (residential, urban or rural)",,44m²square meters,Installed,18m²square meters,4,17m²square meters,13m²square meters,1,,2,,No,,835m²square meters,Connected,Yes,300m²square meters,No,No,Yes,No,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,,,No,,Non flood zone,,"€ 449,900449900 €",,No,,,,East Falnders,,1,18m²square meters,15m²square meters,,,,20m²square meters,Yes,,,,,,,Yes,No,No,4m²square meters,Yes,No,No,Yes,,South West,No,No,No,All kind,,,No,1,Yes,,No,318m²square meters,No,South,1,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,
